nodes,x,y
0,713.6825560648888,521.3907516880524
1,679.5103491191024,553.9390738343023
2,700.648948915947,458.33560736661144
3,669.4229281838366,532.0036901398919
4,715.0221703867147,569.4588630072808
5,695.985012724146,565.8299152146317
6,717.9554152564808,457.44092847141576
13,758.6388254275537,531.6214931175764
14,749.308794130964,552.5833950994412
15,733.510276962073,564.9791351373196
7,705.2667891418354,391.0028357488014
8,668.6313988337824,352.27687982290036
9,716.7428551410899,350.2526814347353
10,668.1945288044798,398.50941506592477
11,680.6419537095841,323.48000835659116
12,641.3548426028365,369.2367283832485
17,734.1322090877621,372.6942389881731
18,717.5130439498071,325.40483569284703
19,763.7212924282089,341.41985311661176
20,759.0459441936719,386.3078399060583
16,731.5626115411224,300.7973904323411
