nodes,x,y
0,1157.4330816731563,604.3737359059054
1,1156.7307586681773,641.5891662459853
2,1080.2297513415251,624.5224958617391
3,1134.5249864403575,629.4503529816978
4,954.1879656591216,579.1944823107174
5,960.2716967033178,560.3478646826253
6,1021.1138699079582,719.2811679265843
7,850.2793476367082,534.835962027606
8,848.9103711686233,546.2828317480501
9,994.0298464146687,505.6602465136884
57,923.6580590928255,701.4021869669267
31,1092.6314187651908,743.9945231844837
53,905.141793137839,713.4102443687507
10,921.8414488836046,618.9323504582544
11,708.5642821290022,482.34807666094207
12,906.9764610846902,577.5155788497837
13,891.0835918983317,487.4474040666467
14,919.5473914008885,447.19845123914524
15,904.5885273385535,512.2909654874501
16,929.110599417658,517.5585395588682
17,926.9241244230269,495.75502650894833
18,845.4437783921921,493.44382250077393
19,818.8725041193383,497.6037619546313
20,925.453730712429,470.68497760289097
21,720.4656602403293,491.224975520604
22,947.0830572377691,484.1984312398187
23,743.7207041542973,507.3523906983499
24,721.2025581294944,471.6097149920095
25,855.4785853921122,625.0023127015321
26,829.6037311630203,621.6495738200088
27,859.86285481005,481.4218143100211
28,843.2350178565241,614.0608135519451
29,894.7702159846034,541.6894643407162
30,902.9071104839879,629.4436337179939
33,711.4252564377849,503.3034870194496
38,895.4352996896833,597.5745563730974
41,938.4870206758734,456.70448461985075
43,941.2769414913108,537.6705711553622
45,945.1738684848823,515.6887914423124
51,744.8059983019923,483.7843417825255
54,834.1202598953724,479.5762384588606
56,866.9139745785051,610.9830017324555
58,882.2493870318774,511.7541067816992
73,723.8342279749257,527.4769391229735
102,698.0092513846663,521.0561883788433
124,910.1276828387304,594.1039624509958
125,918.5183689366701,571.1089683640696
32,816.9345656721667,555.1698046128563
34,792.5705278115189,418.62580407823083
35,584.8303850319263,452.77440573559915
36,570.2677256352436,450.33024774029616
37,584.2602384572419,475.7313342110359
39,1048.8214811399607,606.883107527803
40,1031.254694608711,396.9256309629618
42,1021.2267018902335,292.362798639071
44,1000.0323139148517,458.4466284801852
46,1001.4820024691743,425.6810535318027
47,873.4284296286486,403.4003424218119
48,989.2778890115208,390.9880074214855
49,972.2792784191663,432.6263435998166
50,814.5970062064948,426.9031281024327
52,819.7109011920929,401.1421943481916
55,891.8931570513208,383.0428257937327
59,972.3795455650161,456.944758129945
129,1119.3977788034342,785.5603010390831
130,1227.0685949624044,762.7564427055883
131,1240.8603345659888,786.6316148652887
132,1119.3282068148758,809.2331470030374
133,1147.433147513251,784.1484000500435
128,787.1733723796431,361.94182676720635
113,942.8956283333525,391.2544466002438
60,491.2927788296094,436.77157018140844
61,499.4375335522854,415.35084448079306
62,557.7842343358535,393.5435488078159
63,541.6500009759447,420.2271146529815
64,584.3501928376045,539.6497772538803
65,562.8811163994568,539.2100618218388
66,569.6083625155287,345.20558806062814
67,525.321819020125,472.6704919159169
68,447.4427586729045,266.4955873206015
69,520.3821902779977,349.36670283300396
70,528.6128799536034,537.3745891289959
71,590.0741540017473,405.007818512691
72,615.5563939106044,418.9127380678224
74,519.9846510436395,521.3996104083419
75,419.86204454300855,517.6565130100241
85,588.555389942489,359.9839363706333
90,521.2587129970382,443.1423115771455
96,499.8142273147805,524.7403006301494
104,502.35553065237195,505.1248988461588
106,424.00494383400644,495.6669081133561
141,449.53684149555204,292.9539548565829
121,1087.2373683339235,640.3258535327363
122,1114.6489464410324,603.4484077735409
123,1107.2578039730383,644.4872488287185
126,1231.7169263159738,682.1592534012376
127,1215.158641759507,702.8757117146648
134,1081.8934736907115,369.4334323860713
135,1113.468227820961,372.6856313897988
136,1096.4093530369062,340.9422864856862
118,1050.8712818828035,244.51582325330102
119,1076.1742797259067,182.42046995962454
120,1102.0964803021593,199.13792018295106
112,1047.1059457780534,440.39023273774404
117,1049.4230793794027,388.783525072912
116,854.1655083561664,343.43205941867717
137,1023.2724665874892,342.6144054574369
138,819.6310715847083,369.8856789683098
114,927.2864892544209,763.8390798055705
115,908.8477142291232,325.8798891820827
76,440.66309878255703,429.0694302348431
77,455.78012236984415,388.3318480572797
78,445.85207439697984,400.4333199795329
79,440.2223905532059,413.693029989782
80,512.6002354805197,370.77535119243646
81,559.7865038679652,591.9369753109452
82,546.0581244601233,588.5571154358393
83,586.2505158413869,590.8768211704969
84,571.8957960417113,597.5341458414299
86,578.0344895565461,295.73328959708977
87,605.0896316210586,304.27610985304744
88,562.567759087691,298.50321494196476
89,592.4051076236484,295.6690472256086
91,469.52566544358467,464.8393779374734
92,491.7791670444133,276.3393157745666
93,263.38388250207765,37.06378767733822
94,350.6543660033024,143.00165046470576
