nodes,x,y
0,812.4870055202096,326.5091886418268
1,708.2032108721054,434.19204615126483
2,824.2953517966274,432.87219273351
3,897.7248861345879,497.22164974932446
4,862.4150580633492,312.9438545150151
5,910.1482611102153,303.34531611805073
6,721.5843969262817,466.02096004409526
7,822.3105923198283,516.0464475658292
8,669.6766938308962,430.15154980896693
9,688.4709599079491,456.3126402538529
10,921.3678353760587,576.0810957983317
11,718.3796242098016,402.8512401302507
12,833.8917273629381,555.8426429102136
13,810.9460287991585,386.6352249573874
14,900.0042332299794,589.2847059342764
15,753.8491041163854,432.72388813866047
16,890.8538273604622,327.92447080839474
17,867.5962661114479,574.4880704718968
18,831.9768650645026,536.942917895037
19,832.8107785552465,313.63124208908556
20,866.7941841594766,507.9876039032421
21,803.8559202150126,345.98360240216624
22,854.2302668924614,396.92827761698817
23,880.6483066999411,296.24970182441695
24,849.1691651027494,355.16575891555874
25,892.0377516194392,549.2669073630251
26,910.986489995923,337.43490392371115
27,898.6840388894044,367.09688087301816
28,798.8438492593333,291.8976143926595
29,851.7455926580616,264.00551865763674
30,834.220951504844,286.8609414713021
31,812.99292896063,262.4036434235806
32,688.782512656929,404.443630917208
33,919.1820209922231,544.4655248769685
34,946.9102147646755,553.5688880427078
35,936.488590662565,508.60950417537464
