nodes,x,y
0,564.9623125352609,523.4059466926133
1,675.4081144468638,247.32259822545277
2,723.5100524687304,202.24429592109237
3,601.9146820143368,314.9603548421379
4,681.6498571866289,452.55006187898334
5,536.8028369634939,441.87654607675796
6,622.8121586880893,308.74565823472784
7,702.6066290519941,128.9489627367626
8,443.28543406975814,521.950999259753
9,653.545374198186,439.06183043163867
10,604.8658835196721,497.01656842493475
11,735.7912220318159,462.8987453702876
13,554.7727508661259,499.81736142419385
14,649.7293523991457,387.54330554578723
15,637.5958872959719,422.47797854650065
16,743.2357486891071,439.40609834067357
17,468.9034848387748,513.115109652633
18,464.2163072109014,543.103491709766
19,557.511182579654,420.65433408314834
20,666.7264963492506,203.54274317464473
21,688.5518871793917,473.41187945870934
22,744.6948324710958,371.17221752497784
23,698.1627925947296,398.4208873371482
24,482.9475944059768,489.38915882379973
26,698.4674761903439,414.37666659335883
27,497.57211446696505,517.760697747402
28,610.349448282328,539.2745685099503
29,575.1911039862711,554.4241319705264
30,715.7771695538289,262.70813367587493
31,586.0373998115359,517.4520421431756
32,521.9746998602182,457.1252916746734
33,758.4762288930609,416.88827457979164
34,461.4203976864505,473.7613994566574
35,689.0704116902356,218.51742758169436
36,656.8437631649655,462.05957088283736
37,664.511950043259,366.54752048825526
38,491.12983206992925,545.0770650192263
39,628.7316821563995,356.5229456694107
40,635.9211944784472,388.40990548444734
41,533.2516900570045,420.1562569740119
42,721.1066119112129,228.00731233678667
43,764.2164589720538,390.80662910870336
44,442.5513457705905,492.4510346983133
45,537.5357538571304,481.0954480560323
46,696.9576541778454,178.1330866575483
47,587.5899272723994,330.173428780418
48,577.7176050982437,461.17348880422105
49,676.3075205852567,297.43367034382663
