nodes,x,y
0,636.3117661620807,318.6539665259494
1,634.2786734389445,264.6369747329984
2,750.796389129468,272.94201533697617
3,680.3759549462474,241.31998751769743
4,699.7987323429162,693.0762499834186
5,945.2307121120207,564.9179543469678
6,811.9107297895977,294.4540498499343
7,690.9842253967895,229.16917956875895
8,648.3750752694893,627.0969881866686
9,836.006054355907,429.47435558007857
10,726.6884589960305,694.0865661720088
11,713.999271292226,691.8289875297623
12,783.3951050087469,350.91864164303223
13,624.3734546701378,126.10988549694561
14,588.5101239827281,157.26645552448358
15,658.5052483417753,614.084826298212
16,788.5317715556553,332.66144385384547
17,754.2522445069617,684.1514096676009
18,642.888960564504,639.7001891662453
19,747.2505914056575,672.8889372429593
20,773.9342718120001,285.03066687499364
21,766.1420230178321,679.4411564476048
22,669.8459201834451,692.6016742982723
23,764.8225079373408,274.77072058556183
24,816.6673877653692,309.02582427447646
25,757.5219438726206,257.9519033255053
26,842.5162991844207,420.287403298705
27,695.2540971068184,306.91839576275936
28,743.4915248396146,694.955953303432
29,776.5849317868559,373.9305860032546
30,632.2617863565093,275.71942739956165
31,931.3600352628283,571.0845702849047
32,728.5629745024761,602.4783841586518
33,693.5955331867428,343.6152928396881
34,725.2426503566734,375.8747717882147
35,510.80514081841136,343.96924898361647
36,501.6197255273146,334.2494662780966
37,812.6398057482871,593.4281523264382
38,601.770860704533,137.33452905853153
39,505.136448384822,289.3716151065478
40,692.6599898373973,243.0033951328541
41,702.6841079219062,597.8419892397183
42,498.34374291372404,322.51352445456234
43,762.6440238637902,636.6398462132361
44,824.9980632005753,431.14120467221323
45,705.5149230985305,363.0787005228023
46,768.8125273908323,650.9553759696339
47,943.4781887540203,552.5843431709851
48,769.3933130242382,665.9018769650008
49,490.1398628623857,311.4814171442381
50,758.4185218607956,695.7373452974985
51,754.703533485371,625.8327411200469
52,695.2168019918939,331.1531943606979
53,683.3564635051196,601.3654627587376
54,703.1076883795795,232.40853804844633
55,599.3288486400652,149.30323931384737
56,684.8608617914507,685.3740270617021
57,521.7886078226654,264.4506554910257
58,787.8120641575745,366.16537496710004
59,613.7588791299355,137.00874632323192
60,671.5965693630237,674.9853152019178
61,701.6101739182767,294.5445598621804
62,734.2122675659883,707.3081854602899
63,704.6139500254843,350.0988417306259
64,718.4686879782373,364.04423159747785
65,746.859222536026,707.4599849984356
66,662.3606775642984,655.6420181283729
67,720.1402019380296,707.2906845969458
68,671.8253918481604,609.923810827826
69,734.1180749537344,271.147911947248
70,771.4547676848105,361.744777148176
71,656.653129349386,641.3620269834544
72,768.7015493800782,261.71749279479747
73,492.2467423624047,293.907874844701
74,727.2294577474557,718.0292082695902
75,722.2327294099365,276.12213390003546
76,666.2669069148069,143.38400524393177
77,683.8137821188024,698.5167861020598
78,651.210448886566,659.724109525808
79,809.2530482713635,334.5464092397805
80,693.7917078168516,706.3374374328558
81,711.409053925187,284.26593744814835
82,656.8491752319837,671.9199095089871
83,707.8694962438393,221.59275905766393
84,663.2793464426306,626.7922046786734
85,782.5575183500371,272.2173082419347
86,707.0423047840428,706.750974545745
87,640.1387288292796,652.8989920216917
88,566.6342270914647,227.34040364361758
89,659.7980449846948,684.4884896600674
90,762.5992254225295,378.01524095734703
91,691.2837439784262,319.51787881866824
92,781.604041026263,261.09336498137947
93,785.3317571583389,297.4818209081129
94,673.881732575757,708.6281364474097
95,799.732485722453,296.70908914049704
96,640.8872361429394,667.6036278881264
97,500.8504219716962,275.48027599001466
98,628.07231334605,138.33354321583568
99,662.6814860298872,704.4607081638773
100,640.4608834861896,126.65553422930796
101,796.2807541920349,271.43714725159674
102,790.315096042207,284.18658051430776
103,644.873545389785,682.1311171240491
104,576.3706475833001,235.83370265804695
105,660.1365745530594,443.95736410336093
106,743.4336421792827,261.4325185013205
107,652.964112342471,694.7486668962367
108,790.7852210425777,311.2375814705564
109,805.2365795316141,310.7547352790097
110,696.8086091026265,719.640225353773
111,952.9277696322071,529.6246776098096
112,711.0644250253506,720.1398981561092
113,736.6225753650423,369.3380780655158
114,815.9299155889672,324.67396923591815
115,800.6490588305224,322.9299843048036
116,805.0688292966277,283.44158333239017
117,657.435047992266,132.20360098728258
118,754.1711632734763,368.0487515873986
119,795.916957561907,343.8405569698158
120,683.2574190076867,716.5431934911592
121,798.9741649859483,357.70454290073974
122,953.5964864898742,544.1312231379233
123,502.0516212264267,306.1154882478979
124,726.6272487410012,487.58706337299475
125,647.5940461848674,391.2637970607089
126,735.5987737597451,683.1537208424539
127,755.4905844032776,648.9660683427143
128,819.5468537880706,604.1676405385286
129,646.0665628614227,139.16958369054228
130,745.6500719213576,380.1916351612004
131,756.1491702677553,663.5168284458405
132,745.6540633760079,613.885367298544
133,513.9342688944465,275.24214735732346
134,808.9641624357185,346.8865868541545
135,676.1990090100188,252.77494796570627
136,743.491247999816,321.8141178892242
137,552.1016470502808,310.25571673457307
138,634.3717271787633,189.75726167539727
139,707.532870881187,643.4537152205918
140,895.5574658007387,526.9338303873171
